name,year,highest_degree_offered,offers_bachelors_degree,offers_masters_degree,offers_doctors_degree_research_scholarship,offers_doctors_degree_professional_practice,applicants_total,admissions_total,enrolled_total,estimated_enrollment_total,tuition_and_fees_2013_14,total_price_for_in_state_students_living_on_campus_2013_14,total_price_for_out_of_state_students_living_on_campus_2013_14,state_abbreviation,control_of_institution,total_enrollment,full_time_enrollment,part_time_enrollment,undergraduate_enrollment,graduate_enrollment,full_time_undergraduate_enrollment,part_time_undergraduate_enrollment,percent_of_total_enrollment_that_are_women,percent_of_undergraduate_enrollment_that_are_women,percent_of_graduate_enrollment_that_are_women,graduation_rate_bachelor_degree_within_4_years_total,graduation_rate_bachelor_degree_within_5_years_total,graduation_rate_bachelor_degree_within_6_years_total
SUNY Maritime College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1279.0,818.0,331.0,1761.0,7109.0,22614.0,32064.0,New York,Public,1755.0,1612.0,143.0,1601.0,154.0,1517.0,84.0,12.0,11.0,23.0,25.0,44.0,50.0
Syracuse University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,28269.0,13990.0,3487.0,21267.0,40458.0,57450.0,57450.0,New York,Private not-for-profit,21267.0,19092.0,2175.0,15097.0,6170.0,14422.0,675.0,54.0,55.0,51.0,69.0,79.0,81.0
Teachers College at Columbia University,2013,Doctor's degree - research/scholarship,Implied no,Yes,Yes,Implied no,,,,5150.0,,,,New York,Private not-for-profit,5149.0,3169.0,1980.0,,5149.0,,,76.0,,76.0,,,
Touro College,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,1732.0,1016.0,859.0,13353.0,15250.0,28472.0,28472.0,New York,Private not-for-profit,13868.0,8105.0,5763.0,6827.0,7041.0,5139.0,1688.0,70.0,69.0,72.0,31.0,42.0,48.0
Excelsior College,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,39689.0,,,,New York,Private not-for-profit,39897.0,,39897.0,37440.0,2457.0,,37440.0,56.0,57.0,53.0,,,
Union College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,5725.0,2134.0,559.0,2246.0,46785.0,60150.0,60150.0,New York,Private not-for-profit,2246.0,2225.0,21.0,2246.0,,2225.0,21.0,46.0,46.0,,82.0,87.0,88.0
United States Merchant Marine Academy,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,991.0,1032.0,9768.0,9768.0,New York,Public,985.0,958.0,27.0,958.0,27.0,958.0,,15.0,15.0,15.0,62.0,74.0,74.0
Utica College,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3689.0,3151.0,489.0,4022.0,33320.0,48650.0,48650.0,New York,Private not-for-profit,4028.0,2444.0,1584.0,2881.0,1147.0,2230.0,651.0,60.0,61.0,59.0,30.0,44.0,47.0
Vassar College,2013,Master's degree,Yes,Yes,Implied no,Implied no,7597.0,1832.0,666.0,2477.0,47890.0,61320.0,61320.0,New York,Private not-for-profit,2477.0,2437.0,40.0,2477.0,,2437.0,40.0,56.0,56.0,,90.0,93.0,94.0
Wagner College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2942.0,2056.0,430.0,2229.0,39220.0,53924.0,53924.0,New York,Private not-for-profit,2245.0,1985.0,260.0,1842.0,403.0,1765.0,77.0,66.0,65.0,69.0,53.0,61.0,61.0
Wells College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2214.0,1321.0,161.0,534.0,35900.0,49800.0,49800.0,New York,Private not-for-profit,534.0,524.0,10.0,534.0,,524.0,10.0,66.0,66.0,,56.0,58.0,58.0
Yeshiva University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,1575.0,1294.0,857.0,6620.0,37600.0,55075.0,55075.0,New York,Private not-for-profit,6747.0,5585.0,1162.0,2887.0,3860.0,2782.0,105.0,52.0,47.0,56.0,60.0,81.0,85.0
Appalachian State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,12248.0,7744.0,3028.0,17657.0,6462.0,19058.0,31266.0,North Carolina,Public,17838.0,16021.0,1817.0,16025.0,1813.0,15115.0,910.0,55.0,53.0,70.0,42.0,64.0,69.0
Barton College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2933.0,1225.0,217.0,1073.0,25396.0,39254.0,39254.0,North Carolina,Private not-for-profit,1065.0,906.0,159.0,1057.0,8.0,900.0,157.0,69.0,69.0,100.0,41.0,47.0,48.0
Belmont Abbey College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2197.0,1485.0,283.0,1647.0,18500.0,32564.0,32564.0,North Carolina,Private not-for-profit,1647.0,1549.0,98.0,1647.0,,1549.0,98.0,58.0,58.0,,33.0,38.0,38.0
Bennett College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1639.0,1354.0,194.0,680.0,17355.0,31035.0,31035.0,North Carolina,Private not-for-profit,680.0,609.0,71.0,680.0,,609.0,71.0,100.0,100.0,,25.0,39.0,44.0
Brevard College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2299.0,1032.0,245.0,701.0,25200.0,37000.0,37000.0,North Carolina,Private not-for-profit,701.0,690.0,11.0,701.0,,690.0,11.0,38.0,38.0,,31.0,41.0,43.0
Campbell University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,11714.0,8180.0,788.0,6144.0,26240.0,42580.0,42580.0,North Carolina,Private not-for-profit,6122.0,4981.0,1141.0,4465.0,1657.0,3537.0,928.0,52.0,50.0,58.0,39.0,46.0,49.0
Catawba College,2013,Master's degree,Yes,Yes,Implied no,Implied no,3226.0,1309.0,342.0,1310.0,26820.0,40743.0,40743.0,North Carolina,Private not-for-profit,1310.0,1211.0,99.0,1298.0,12.0,1210.0,88.0,53.0,52.0,100.0,41.0,50.0,53.0
Chowan University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3708.0,2282.0,474.0,1367.0,22510.0,31780.0,31780.0,North Carolina,Private not-for-profit,1367.0,1285.0,82.0,1361.0,6.0,1285.0,76.0,53.0,53.0,100.0,15.0,22.0,24.0
Davidson College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4745.0,1215.0,483.0,1788.0,42849.0,57458.0,57458.0,North Carolina,Private not-for-profit,1788.0,1788.0,,1788.0,,1788.0,,50.0,50.0,,90.0,92.0,92.0
Duke University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,30374.0,4077.0,1714.0,15320.0,45376.0,61748.0,61748.0,North Carolina,Private not-for-profit,15467.0,14894.0,573.0,6646.0,8821.0,6629.0,17.0,50.0,50.0,50.0,87.0,93.0,94.0
East Carolina University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15535.0,9658.0,4015.0,26887.0,6143.0,20831.0,34944.0,North Carolina,Public,26887.0,20971.0,5916.0,21508.0,5379.0,18500.0,3008.0,60.0,59.0,65.0,31.0,52.0,56.0
Elizabeth City State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3925.0,2243.0,527.0,2421.0,4429.0,13161.0,24018.0,North Carolina,Public,2421.0,2155.0,266.0,2336.0,85.0,2146.0,190.0,59.0,59.0,71.0,21.0,38.0,42.0
Elon University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,9949.0,5370.0,1474.0,6305.0,30149.0,43546.0,43546.0,North Carolina,Private not-for-profit,6305.0,6052.0,253.0,5599.0,706.0,5464.0,135.0,59.0,59.0,57.0,77.0,81.0,82.0
Fayetteville State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4010.0,2204.0,612.0,6256.0,4605.0,14854.0,25650.0,North Carolina,Public,6179.0,4325.0,1854.0,5410.0,769.0,3971.0,1439.0,70.0,69.0,74.0,12.0,27.0,32.0
Gardner-Webb University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5481.0,2640.0,435.0,4682.0,25830.0,37620.0,37620.0,North Carolina,Private not-for-profit,4656.0,2784.0,1872.0,2587.0,2069.0,2089.0,498.0,68.0,65.0,71.0,43.0,55.0,55.0
Greensboro College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1314.0,1029.0,200.0,839.0,26306.0,39376.0,39376.0,North Carolina,Private not-for-profit,1012.0,781.0,231.0,974.0,38.0,771.0,203.0,52.0,51.0,74.0,15.0,28.0,31.0
Guilford College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3030.0,2066.0,407.0,2302.0,32470.0,45395.0,45395.0,North Carolina,Private not-for-profit,2302.0,1928.0,374.0,2302.0,,1928.0,374.0,56.0,56.0,,49.0,55.0,57.0
High Point University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,7663.0,4918.0,1257.0,4199.0,30715.0,43900.0,43900.0,North Carolina,Private not-for-profit,4199.0,4017.0,182.0,3999.0,200.0,3953.0,46.0,60.0,59.0,76.0,58.0,62.0,62.0
Johnson C Smith University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4777.0,1752.0,232.0,1387.0,18236.0,32136.0,32136.0,North Carolina,Private not-for-profit,1387.0,1323.0,64.0,1387.0,,1323.0,64.0,59.0,59.0,,32.0,40.0,44.0
Lees-McRae College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1751.0,1164.0,226.0,890.0,24150.0,39250.0,39250.0,North Carolina,Private not-for-profit,890.0,883.0,7.0,890.0,,883.0,7.0,60.0,60.0,,30.0,38.0,38.0
Lenoir-Rhyne University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4762.0,3241.0,310.0,1816.0,29310.0,43360.0,43360.0,North Carolina,Private not-for-profit,1898.0,1519.0,379.0,1491.0,407.0,1306.0,185.0,62.0,58.0,74.0,40.0,48.0,49.0
Livingstone College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,3270.0,2329.0,395.0,1175.0,16024.0,25920.0,25920.0,North Carolina,Private not-for-profit,1175.0,1164.0,11.0,1175.0,,1164.0,11.0,44.0,44.0,,11.0,17.0,20.0
Mars Hill University,2013,Master's degree,Yes,Yes,Implied no,Implied no,2899.0,1869.0,419.0,1023.0,25636.0,38224.0,38224.0,North Carolina,Private not-for-profit,1440.0,1333.0,107.0,1426.0,14.0,1319.0,107.0,50.0,50.0,93.0,26.0,38.0,38.0
Meredith College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1762.0,1098.0,415.0,1863.0,30562.0,41878.0,41878.0,North Carolina,Private not-for-profit,1872.0,1602.0,270.0,1571.0,301.0,1490.0,81.0,98.0,100.0,88.0,50.0,61.0,62.0
Methodist University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4079.0,2497.0,452.0,2463.0,27830.0,47311.0,47311.0,North Carolina,Private not-for-profit,2463.0,2100.0,363.0,2243.0,220.0,1962.0,281.0,48.0,46.0,64.0,18.0,40.0,43.0
Montreat College,2013,Master's degree,Yes,Yes,Implied no,Implied no,700.0,380.0,109.0,926.0,23520.0,35690.0,35690.0,North Carolina,Private not-for-profit,926.0,635.0,291.0,743.0,183.0,462.0,281.0,60.0,57.0,70.0,26.0,37.0,39.0
Mount Olive College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2117.0,1054.0,333.0,3414.0,17300.0,27850.0,27850.0,North Carolina,Private not-for-profit,3414.0,1386.0,2028.0,3414.0,,1386.0,2028.0,67.0,67.0,,26.0,35.0,37.0
North Carolina A & T State University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,4480.0,3120.0,1849.0,10474.0,5422.0,15929.0,27010.0,North Carolina,Public,10561.0,9086.0,1475.0,8872.0,1689.0,8098.0,774.0,55.0,54.0,57.0,16.0,35.0,43.0
University of North Carolina at Asheville,2013,Master's degree,Yes,Yes,Implied no,Implied no,3036.0,1944.0,553.0,3636.0,6241.0,18765.0,32587.0,North Carolina,Public,3784.0,3129.0,655.0,3736.0,48.0,3129.0,607.0,57.0,57.0,56.0,37.0,56.0,60.0
University of North Carolina at Chapel Hill,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,28437.0,7847.0,3915.0,29127.0,8340.0,24024.0,45806.0,North Carolina,Public,29127.0,24390.0,4737.0,18370.0,10757.0,17570.0,800.0,57.0,58.0,56.0,81.0,88.0,90.0
University of North Carolina at Charlotte,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,13742.0,9416.0,3541.0,26571.0,6107.0,19080.0,31609.0,North Carolina,Public,26571.0,20436.0,6135.0,21503.0,5068.0,18309.0,3194.0,50.0,48.0,59.0,26.0,48.0,54.0
University of North Carolina at Greensboro,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,10112.0,6069.0,2516.0,18075.0,6382.0,19172.0,32970.0,North Carolina,Public,18074.0,13858.0,4216.0,14753.0,3321.0,12469.0,2284.0,66.0,65.0,69.0,30.0,50.0,55.0
North Carolina Central University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,8886.0,4472.0,1407.0,8014.0,5526.0,18547.0,29120.0,North Carolina,Public,8093.0,6550.0,1543.0,6220.0,1873.0,5297.0,923.0,67.0,67.0,69.0,15.0,33.0,40.0
North Carolina State University at Raleigh,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,20700.0,10353.0,4398.0,34008.0,8206.0,22184.0,35639.0,North Carolina,Public,34009.0,26770.0,7239.0,24536.0,9473.0,21469.0,3067.0,44.0,44.0,46.0,41.0,68.0,74.0
North Carolina Wesleyan College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1634.0,764.0,222.0,1557.0,26632.0,37812.0,37812.0,North Carolina,Private not-for-profit,1602.0,1232.0,370.0,1602.0,,1232.0,370.0,59.0,59.0,,23.0,32.0,33.0
University of North Carolina Wilmington,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,11184.0,6061.0,2053.0,13937.0,6343.0,20601.0,32738.0,North Carolina,Public,13937.0,12001.0,1936.0,12447.0,1490.0,11408.0,1039.0,61.0,60.0,70.0,52.0,68.0,71.0
William Peace University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,1083.0,984.0,328.0,1081.0,23900.0,38900.0,38900.0,North Carolina,Private not-for-profit,1007.0,875.0,132.0,1007.0,,875.0,132.0,71.0,71.0,,38.0,43.0,43.0
University of North Carolina at Pembroke,2013,Master's degree,Yes,Yes,Implied no,Implied no,3087.0,2224.0,1020.0,6222.0,5144.0,17622.0,26829.0,North Carolina,Public,6222.0,4485.0,1737.0,5429.0,793.0,4230.0,1199.0,63.0,62.0,71.0,15.0,28.0,33.0
Pfeiffer University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1662.0,1597.0,218.0,1852.0,24150.0,37140.0,37140.0,North Carolina,Private not-for-profit,1860.0,1041.0,819.0,951.0,909.0,856.0,95.0,67.0,60.0,74.0,33.0,48.0,48.0
Queens University of Charlotte,2013,Master's degree,Yes,Yes,Implied no,Implied no,1949.0,1498.0,316.0,2285.0,29800.0,44124.0,44124.0,North Carolina,Private not-for-profit,2285.0,1579.0,706.0,1734.0,551.0,1410.0,324.0,71.0,72.0,67.0,44.0,51.0,52.0
Mid-Atlantic Christian University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,168.0,69.0,37.0,162.0,12160.0,25090.0,25090.0,North Carolina,Private not-for-profit,162.0,129.0,33.0,162.0,,129.0,33.0,52.0,52.0,,30.0,50.0,60.0
Saint Augustine's University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,2560.0,1725.0,327.0,1299.0,17890.0,31642.0,31642.0,North Carolina,Private not-for-profit,1299.0,1265.0,34.0,1299.0,,1265.0,34.0,50.0,50.0,,22.0,29.0,29.0
Salem College,2013,Master's degree,Yes,Yes,Implied no,Implied no,854.0,497.0,174.0,1159.0,24566.0,41600.0,41600.0,North Carolina,Private not-for-profit,1187.0,845.0,342.0,979.0,208.0,827.0,152.0,94.0,95.0,89.0,61.0,64.0,64.0
Shaw University,2013,Master's degree,Yes,Yes,Implied no,Implied no,6207.0,3382.0,507.0,2064.0,16480.0,29378.0,29378.0,North Carolina,Private not-for-profit,2062.0,1875.0,187.0,1923.0,139.0,1784.0,139.0,56.0,56.0,59.0,16.0,26.0,30.0
St Andrews University,2013,Master's degree,Yes,Yes,Implied no,Implied no,898.0,579.0,178.0,638.0,23332.0,40000.0,40000.0,North Carolina,Private not-for-profit,635.0,592.0,43.0,595.0,40.0,558.0,37.0,54.0,53.0,65.0,4.0,42.0,42.0
Wake Forest University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,11121.0,3915.0,1232.0,7602.0,44742.0,60242.0,60242.0,North Carolina,Private not-for-profit,7602.0,7375.0,227.0,4823.0,2779.0,4756.0,67.0,50.0,52.0,47.0,82.0,86.0,86.0
Warren Wilson College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1214.0,845.0,220.0,893.0,29540.0,43000.0,43000.0,North Carolina,Private not-for-profit,893.0,887.0,6.0,830.0,63.0,824.0,6.0,63.0,61.0,78.0,40.0,51.0,51.0
Wingate University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5323.0,4221.0,642.0,3002.0,25040.0,37740.0,37740.0,North Carolina,Private not-for-profit,3002.0,2457.0,545.0,2009.0,993.0,1953.0,56.0,60.0,59.0,62.0,47.0,51.0,53.0
Winston-Salem State University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,5164.0,2874.0,685.0,5367.0,5468.0,16708.0,25521.0,North Carolina,Public,5399.0,4614.0,785.0,4938.0,461.0,4317.0,621.0,71.0,71.0,73.0,18.0,38.0,46.0
Western Carolina University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15231.0,5736.0,1558.0,10106.0,6265.0,18599.0,28196.0,North Carolina,Public,10107.0,7750.0,2357.0,8448.0,1659.0,7081.0,1367.0,57.0,55.0,66.0,32.0,48.0,51.0
Dickinson State University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,417.0,203.0,165.0,1449.0,5846.0,16044.0,18396.0,North Dakota,Public,1449.0,1018.0,431.0,1449.0,,1018.0,431.0,61.0,61.0,,15.0,31.0,38.0
University of Jamestown,2013,Doctor's degree - other,Yes,Yes,Implied no,Implied no,1088.0,619.0,261.0,979.0,18494.0,28738.0,28738.0,North Dakota,Private not-for-profit,997.0,923.0,74.0,955.0,42.0,882.0,73.0,53.0,53.0,60.0,33.0,50.0,51.0
University of Mary,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,945.0,785.0,440.0,2470.0,14730.0,24121.0,24121.0,North Dakota,Private not-for-profit,2910.0,1744.0,1166.0,2044.0,866.0,1637.0,407.0,65.0,64.0,68.0,28.0,36.0,49.0
Mayville State University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1094.0,6353.0,16445.0,18767.0,North Dakota,Public,1065.0,587.0,478.0,1036.0,29.0,587.0,449.0,57.0,56.0,79.0,21.0,31.0,36.0
Minot State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,959.0,543.0,397.0,3533.0,6086.0,16196.0,16196.0,North Dakota,Public,3533.0,2273.0,1260.0,3254.0,279.0,2151.0,1103.0,62.0,61.0,68.0,14.0,32.0,37.0
University of North Dakota,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5404.0,3983.0,2360.0,15143.0,7508.0,21162.0,31448.0,North Dakota,Public,15143.0,11160.0,3983.0,11724.0,3419.0,9385.0,2339.0,47.0,43.0,60.0,24.0,47.0,53.0
North Dakota State University-Main Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,5812.0,4888.0,2553.0,14629.0,7660.0,19460.0,30042.0,North Dakota,Public,14629.0,11798.0,2831.0,11948.0,2681.0,10707.0,1241.0,46.0,44.0,52.0,26.0,46.0,53.0
Valley City State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,345.0,286.0,186.0,1366.0,6516.0,16986.0,25066.0,North Dakota,Public,1366.0,761.0,605.0,1211.0,155.0,759.0,452.0,57.0,56.0,68.0,23.0,39.0,46.0
University of Akron Main Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,10575.0,10204.0,3812.0,23471.0,10054.0,23956.0,32320.0,Ohio,Public,24932.0,18340.0,6592.0,20477.0,4455.0,15870.0,4607.0,49.0,48.0,56.0,16.0,34.0,40.0
Ashland University,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,2931.0,2180.0,623.0,5979.0,29836.0,42833.0,42833.0,Ohio,Private not-for-profit,5979.0,3444.0,2535.0,3198.0,2781.0,2389.0,809.0,57.0,51.0,62.0,42.0,54.0,56.0
Baldwin Wallace University,2013,Master's degree,Yes,Yes,Implied no,Implied no,4220.0,2699.0,762.0,4053.0,27840.0,39230.0,39230.0,Ohio,Private not-for-profit,4053.0,3363.0,690.0,3425.0,628.0,3003.0,422.0,56.0,55.0,59.0,55.0,69.0,71.0
Bluffton University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1784.0,947.0,250.0,1146.0,28504.0,41864.0,41864.0,Ohio,Private not-for-profit,1146.0,920.0,226.0,1053.0,93.0,838.0,215.0,50.0,50.0,57.0,52.0,58.0,60.0
Bowling Green State University-Main Campus,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,15689.0,11370.0,3348.0,16958.0,10726.0,23506.0,30814.0,Ohio,Public,16958.0,14764.0,2194.0,14477.0,2481.0,13387.0,1090.0,57.0,56.0,61.0,31.0,51.0,54.0
Capital University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3640.0,2768.0,691.0,3628.0,31990.0,44350.0,44350.0,Ohio,Private not-for-profit,3628.0,2980.0,648.0,2788.0,840.0,2481.0,307.0,56.0,58.0,51.0,52.0,57.0,58.0
Case Western Reserve University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,18418.0,7713.0,1252.0,10325.0,41800.0,57798.0,57798.0,Ohio,Private not-for-profit,10325.0,9270.0,1055.0,4661.0,5664.0,4528.0,133.0,49.0,45.0,53.0,65.0,78.0,80.0
Cedarville University,2013,Doctor's degree -  professional practice,Yes,Yes,Implied no,Yes,3267.0,2418.0,781.0,3463.0,26420.0,35020.0,35020.0,Ohio,Private not-for-profit,3462.0,3163.0,299.0,3238.0,224.0,3044.0,194.0,54.0,53.0,66.0,61.0,72.0,73.0
Central State University,2013,Master's degree,Yes,Yes,Implied no,Implied no,7142.0,2377.0,420.0,2068.0,6058.0,17804.0,25256.0,Ohio,Public,2068.0,1840.0,228.0,2036.0,32.0,1840.0,196.0,53.0,53.0,56.0,10.0,20.0,25.0
University of Cincinnati-Main Campus,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,16002.0,11721.0,4486.0,34379.0,10784.0,27434.0,42466.0,Ohio,Public,34379.0,25873.0,8506.0,23706.0,10673.0,20332.0,3374.0,53.0,50.0,60.0,25.0,58.0,63.0
Ohio Christian University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1455.0,1413.0,719.0,3711.0,17720.0,33418.0,33418.0,Ohio,Private not-for-profit,3711.0,1859.0,1852.0,3528.0,183.0,1748.0,1780.0,60.0,61.0,51.0,16.0,31.0,33.0
Cleveland State University,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,6768.0,4255.0,1727.0,17741.0,9499.0,25317.0,28496.0,Ohio,Public,17497.0,10825.0,6672.0,12133.0,5364.0,8998.0,3135.0,55.0,54.0,58.0,8.0,23.0,32.0
University of Dayton,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15719.0,8327.0,1761.0,10834.0,35800.0,49540.0,49540.0,Ohio,Private not-for-profit,10835.0,9390.0,1445.0,7975.0,2860.0,7455.0,520.0,49.0,48.0,51.0,60.0,76.0,77.0
Defiance College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1704.0,1220.0,241.0,989.0,28690.0,41700.0,41700.0,Ohio,Private not-for-profit,989.0,766.0,223.0,892.0,97.0,732.0,160.0,48.0,48.0,51.0,38.0,45.0,46.0
Denison University,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4770.0,2193.0,582.0,2274.0,43910.0,56520.0,56520.0,Ohio,Private not-for-profit,2274.0,2253.0,21.0,2274.0,,2253.0,21.0,58.0,58.0,,78.0,81.0,81.0
The University of Findlay,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,2260.0,1544.0,581.0,4877.0,29798.0,41306.0,41306.0,Ohio,Private not-for-profit,4880.0,3041.0,1839.0,3872.0,1008.0,2490.0,1382.0,62.0,62.0,60.0,44.0,54.0,56.0
Heidelberg University,2013,Master's degree,Yes,Yes,Implied no,Implied no,,,,1403.0,26180.0,38154.0,38154.0,Ohio,Private not-for-profit,1241.0,1094.0,147.0,1107.0,134.0,1055.0,52.0,52.0,50.0,71.0,35.0,48.0,51.0
Hiram College,2013,Master's degree,Yes,Yes,Implied no,Implied no,2542.0,1458.0,290.0,1311.0,30290.0,43145.0,43145.0,Ohio,Private not-for-profit,1311.0,1117.0,194.0,1283.0,28.0,1117.0,166.0,55.0,55.0,68.0,57.0,65.0,65.0
John Carroll University,2013,Master's degree,Yes,Yes,Implied no,Implied no,3721.0,3101.0,793.0,3723.0,34480.0,48310.0,48310.0,Ohio,Private not-for-profit,3711.0,3213.0,498.0,3040.0,671.0,2950.0,90.0,52.0,48.0,70.0,65.0,74.0,75.0
Kent State University at Salem,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,,,,1846.0,5554.0,,,Ohio,Public,1846.0,703.0,1143.0,1844.0,2.0,703.0,1141.0,71.0,71.0,50.0,11.0,27.0,32.0
Kent State University at Kent,2013,Doctor's degree - research/scholarship and professional practice,Yes,Yes,Yes,Yes,15970.0,13259.0,4111.0,28575.0,9816.0,24926.0,32886.0,Ohio,Public,28998.0,21737.0,7261.0,22968.0,6030.0,18533.0,4435.0,60.0,59.0,64.0,28.0,46.0,52.0
Kenyon College,2013,Bachelor's degree,Yes,Implied no,Implied no,Implied no,4054.0,1556.0,483.0,1699.0,45640.0,60070.0,60070.0,Ohio,Private not-for-profit,1705.0,1695.0,10.0,1705.0,,1695.0,10.0,54.0,54.0,,86.0,89.0,89.0
Lake Erie College,2013,Master's degree,Yes,Yes,Implied no,Implied no,1158.0,644.0,205.0,1077.0,27368.0,40364.0,40364.0,Ohio,Private not-for-profit,1086.0,875.0,211.0,922.0,164.0,852.0,70.0,48.0,49.0,43.0,28.0,43.0,45.0
Lourdes University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1307.0,906.0,227.0,1840.0,17655.0,31157.0,31157.0,Ohio,Private not-for-profit,2187.0,1452.0,735.0,1806.0,381.0,1137.0,669.0,72.0,70.0,82.0,7.0,24.0,32.0
Malone University,2013,Master's degree,Yes,Yes,Implied no,Implied no,1333.0,957.0,316.0,2096.0,25678.0,37934.0,37934.0,Ohio,Private not-for-profit,2074.0,1525.0,549.0,1656.0,418.0,1453.0,203.0,60.0,57.0,68.0,46.0,58.0,59.0
Marietta College,2013,Master's degree,Yes,Yes,Implied no,Implied no,4168.0,2662.0,385.0,1539.0,31940.0,44362.0,44362.0,Ohio,Private not-for-profit,1542.0,1429.0,113.0,1416.0,126.0,1352.0,64.0,45.0,42.0,81.0,44.0,52.0,55.0
Miami University-Oxford,2013,Doctor's degree - research/scholarship,Yes,Yes,Yes,Implied no,22520.0,15034.0,3644.0,17901.0,13800.0,29701.0,45491.0,Ohio,Public,17901.0,16038.0,1863.0,15462.0,2439.0,15001.0,461.0,54.0,52.0,68.0,68.0,79.0,81.0
